text,label
Aliens have landed on Earth,0
The United States and Israel are involved in a conflict with Iran. Missile attacks have been reported,1
Fake miracle cure discovered,0
Economy is improving steadily,1
India wins cricket match,1
Government launches new scheme,1
Stock market hits record high,1
NASA confirms Mars water,1
New technology improves battery life,1
Scientists discover new species in ocean,1
Education policy updated nationwide,1
New hospital opened in Chennai,1
Electric vehicles gain popularity in India,1
ISRO launches new satellite successfully,1
Rainfall improves crop production,1
Startup raises million-dollar funding,1
New bridge inaugurated in Tamil Nadu,1
Researchers develop cancer treatment,1
Digital payments increase in rural areas,1
Railway introduces faster trains,1
India signs international trade deal,1
AI helps doctors detect diseases early,1
Vaccination drive reaches millions,1
Solar energy usage rises globally,1
Government reduces fuel prices,1
Tech company launches new smartphone,1
Tourism increases in South India,1
New airport project announced,1
Clean energy initiatives expand,1

Fake UFO spotted in Chennai,0
Man becomes invisible overnight,0
Aliens land in Madurai,0
Time travel machine invented,0
Ghost spotted in government office,0
Magic water cures all diseases,0
Man lives without food for 1 year,0
Flying car sold in local market,0
Talking dog shocks scientists,0
Secret city found under ocean,0
People turn into animals suddenly,0
Fake news about celebrity death spreads,0
Invisible cloak invented by student,0
Moon turns green last night,0
Humans can breathe underwater now,0
Zombie outbreak reported in village,0
Man lifts 1000 kg with one hand,0
Teleportation machine tested in India,0
Sun rises from west today,0
Fake video of alien attack viral,0
Magic pill makes people fly,0
Robot becomes human overnight,0
Secret tunnel to Mars discovered,0
Dinosaurs found alive in forest,0
